time,volume,epotential,ekinetic,temperature,pressure
0.0,11883.569768,-347.8264918373025,61.96489157279576,83.51348553427103,158.82718353111431
1.0,11883.569768,-351.79133657689863,65.897781298235,88.81405688776874,-39.036193981329454
2.0,11883.569768,-349.3697007963764,63.438022931968945,85.4989055250389,80.22316408408682
3.0,11883.569768,-347.39742123982194,61.50431464976774,82.89274073471739,89.9455206306049
4.0,11883.569768,-347.9265937736663,62.17379657799576,83.79503827626706,92.62439459478355
5.0,11883.569768,-348.504975589927,62.95038806963361,84.84169325551032,113.0409483850338
6.0,11883.569768,-349.7952095215789,64.48752419651225,86.91337598484223,78.68694568629523
7.0,11883.569768,-349.44056606490284,64.42240445672635,86.82561053720619,46.94520726264694
8.0,11883.569768,-347.44133565338734,62.705669174174886,84.51187216784093,73.8865052731878
9.0,11883.569768,-352.2784316833276,68.01291080639736,91.66473302226194,-77.4475104875848
10.0,11883.569768,-350.25958569645275,66.40130860039946,89.49268827076764,24.736560768290182
11.0,11883.569768,-348.8040098006425,65.4561061195023,88.21878700649079,93.52799017360577
12.0,11883.569768,-345.47651065755673,62.745837886065516,84.56600974565735,219.1685512089263
13.000000000000002,11883.569768,-353.564727414504,71.40134253325252,96.2315084465704,-67.51443963008718
14.0,11883.569768,-348.1173451753946,66.58091983713453,89.73476019311168,116.33506731973853
15.000000000000002,11883.569768,-347.3477638555997,66.54984799206193,89.69288296201954,134.5577256929273
16.0,11883.569768,-348.5982899178943,68.51745052171883,92.34472889004239,65.813328647566
17.0,11883.569768,-347.2329361435953,67.87106308880219,91.47355706744669,123.75346825846148
18.0,11883.569768,-346.4355508300319,67.7678386878982,91.33443587651308,186.86179191422474
19.0,11883.569768,-345.24605656781563,67.35834757492542,90.78254222719569,219.30740037126452
20.0,11883.569768,-347.40979100432804,70.30097384534847,94.74848116826587,126.54192261955116
21.0,11883.569768,-345.36046391781684,69.00180003105221,92.99751330900203,148.90633065713303
22.0,11883.569768,-349.1654901109886,73.5760728406457,99.16251184958705,102.05315238472882
23.0,11883.569768,-347.58062389220476,72.75960814270863,98.06211756163279,80.73834230785373
24.0,11883.569768,-348.50268201238964,74.51570104396043,100.42890035400218,120.17308468567518
25.0,11883.569768,-339.201637363834,65.94156915889202,88.87307219102738,372.9329114924055
26.000000000000004,11883.569768,-347.46881717556516,74.90001916980228,100.94686698685501,174.26582438228496
27.0,11883.569768,-349.07761044734525,77.20118853468772,104.04827924770755,105.68738325669617
28.0,11883.569768,-340.56399105536553,69.31214283255278,93.41577933684354,363.7133470211294
29.0,11883.569768,-343.4293533753107,72.80394030865521,98.12186645500628,329.4045578405698
30.000000000000004,11883.569768,-346.4877805821241,76.39696306368006,102.96438043767918,258.5629771220496
31.0,11883.569768,-340.8226254435705,71.25846698318792,96.03894722551989,381.1936628666208
32.0,11883.569768,-342.8929767640246,73.82789698703769,99.50190907393598,313.9998762845937
33.0,11883.569768,-343.33958072092963,74.67606479439803,100.64503138259694,298.4162031925294
34.0,11883.569768,-343.36448233426074,75.06780338025878,101.17299897671536,312.5261683105605
35.0,11883.569768,-340.19199307161654,72.18025497437739,97.28129149683085,409.25992553937465
36.0,11883.569768,-341.1510920538088,73.37604402369925,98.89292203370124,381.733045136615
37.00000000000001,11883.569768,-342.6642414252167,75.05334425177756,101.15351161562096,343.3747227038329
38.0,11883.569768,-347.5236554452354,80.00509662737568,107.82726008660774,163.94392584310597
39.0,11883.569768,-343.9634600303202,76.521284681796,103.13193550624452,287.1282341646218
40.0,11883.569768,-339.91283441946723,72.42224407296438,97.60743348742167,464.36703583106186
41.00000000000001,11883.569768,-341.8838830044361,74.28863033220146,100.12286469218776,328.8669985280619
42.0,11883.569768,-345.155809852788,77.31061775512525,104.19576301449992,226.0804274315161
43.0,11883.569768,-341.2896658180604,73.26540144460489,98.7438029568476,357.31919811244666
44.0,11883.569768,-345.00881989650946,76.68086592374479,103.34701190519817,292.56176396543066
45.00000000000001,11883.569768,-345.58841424133925,76.94207677585382,103.69906010806437,199.35375473488975
46.0,11883.569768,-340.1881807483807,71.11126216179547,95.8405512078735,392.8076806082176
47.0,11883.569768,-341.8332900225444,72.25581123305909,97.38312281382791,354.9074668991521
48.0,11883.569768,-343.60511886399877,73.54532279657764,99.12106832737192,305.5016670445349
49.00000000000001,11883.569768,-340.7929967775599,70.13489801921048,94.52465166172227,382.0250821122564
50.0,11883.569768,-342.77822425534555,71.54506736635348,96.42521429298495,317.7214152894046
51.00000000000001,11883.569768,-346.78366066700835,74.9194009381438,100.97298885988559,167.5717749160081
52.00000000000001,11883.569768,-345.6013863428951,73.0320428878709,98.4292928212298,230.0043550038629
53.00000000000001,11883.569768,-346.5649557379309,73.29466552444894,98.78324376351566,159.84278255944778
54.0,11883.569768,-346.05327379964365,72.03159649375667,97.08093630285327,150.94876670470398
55.0,11883.569768,-345.8793456500158,71.07826492506767,95.79607902076575,218.29950821975632
56.0,11883.569768,-346.9265367586247,71.27488925577397,96.06108042367849,182.59430983861415
57.0,11883.569768,-345.62655041281533,69.18479898175148,93.24415103940225,260.04059437823287
58.0,11883.569768,-346.85782680465934,69.54633290107991,93.73141014654541,192.26371063597628
59.00000000000001,11883.569768,-346.7135984305432,68.47816273846712,92.29177858810552,137.63525578414232
60.00000000000001,11883.569768,-349.66241015619966,70.5758734847853,95.11897850117113,107.52667721990483
61.00000000000001,11883.569768,-352.8965090331859,73.01857078536612,98.41113572922026,-71.82936334485237
62.0,11883.569768,-351.28649659634414,70.55070384275808,95.08505599308648,28.379399387544336
